DEPTH,NPHI,RHOB,SGR(=GR),COREFACIES,PHIH,PHIV,MARKERS,PHIE,SWE,VSH,POTA,LOGKH,LOGKV
3403.8,0.169,2.351,34.139,0.0,,,,16.49,0.927,0.119,0.154,,
3404.0,0.167,2.348,35.481,0.0,19.3,,,16.72,0.92,0.107,0.165,2.258,
3404.2,0.157,2.343,35.103,0.0,,,,17.07,0.928,0.072,0.177,,
3404.4,0.143,2.344,35.123,0.0,,,,17.09,0.945,0.035,0.174,,
3404.5,,,,,17.5,,,,,,,2.265,
3404.6,0.139,2.346,35.144,0.0,,,,17.04,0.944,0.024,0.175,,
3404.8,0.134,2.347,37.21,0.0,,,,17.02,0.943,0.012,0.175,,
3405.0,0.132,2.334,39.276,0.0,18.3,17.9,,17.61,0.911,0.0,0.186,2.767,2.698
3405.2,0.136,2.331,39.576,0.0,,,,17.84,0.892,0.0,0.197,,
3405.4,0.139,2.336,39.876,0.0,,,,17.64,0.886,0.011,0.2,,
3405.5,,,,,15.5,,,,,,,2.573,
3405.6,0.135,2.333,40.14,0.0,,,,17.75,0.88,0.0,0.202,,
3405.8,0.134,2.331,41.092,0.0,,,,17.79,0.871,0.0,0.205,,
3406.0,0.132,2.323,42.044,0.0,18.7,,,17.99,0.858,0.0,0.208,2.493,
3406.2,0.135,2.328,42.709,0.0,,,,17.93,0.858,0.0,0.208,,
3406.4,0.137,2.331,43.373,0.0,,,,17.92,0.855,0.0,0.208,,
3406.5,,,,,17.1,,,,,,,2.14,
3406.6,0.139,2.334,41.465,0.0,,,,17.77,0.854,0.009,0.208,,
3406.8,0.136,2.337,39.557,0.0,,,,17.6,0.869,0.004,0.208,,
3407.0,0.133,2.343,38.599,0.0,18.1,17.5,,17.25,0.891,0.004,0.208,2.539,2.45
3407.2,0.133,2.349,37.642,0.0,,,,16.87,0.907,0.016,0.209,,
3407.4,0.134,2.344,39.029,0.0,,,,17.18,0.907,0.009,0.21,,
3407.5,,,,,15.4,,,,,,,2.033,
3407.6,0.134,2.339,40.416,0.0,,,,17.5,0.897,0.002,0.21,,
3407.8,0.133,2.328,39.853,0.0,,,,17.83,0.882,0.0,0.208,,
3408.0,0.132,2.327,39.29,0.0,18.2,,,17.81,0.878,0.0,0.205,2.583,
3408.2,0.13,2.336,40.616,0.0,,,,17.46,0.89,0.0,0.203,,
3408.4,0.136,2.346,41.942,0.0,,,,17.03,0.89,0.019,0.2,,
3408.5,,,,,17.4,,,,,,,2.228,
3408.6,0.141,2.355,42.361,0.0,,,,16.41,0.89,0.05,0.208,,
3408.8,0.139,2.354,42.781,0.0,,,,16.53,0.886,0.039,0.215,,
3409.0,0.135,2.344,41.331,0.0,17.4,17.1,,17.13,0.872,0.015,0.22,2.632,2.592
